Unit,Question,Answer
VISUAL 1 - UNIT 1,"""What do you say in the morning?""","""I say 'Good Morning' in the morning."""
VISUAL 1 - UNIT 1,"""What time do you get up?""","""I get up in the morning."""
VISUAL 1 - UNIT 1,"""What time do you eat breakfast?""","""I eat breakfast in the morning."""
VISUAL 1 - UNIT 1,"""What time do you go to school?""","""I go to school in the morning."""
VISUAL 1 - UNIT 1,"""What do you drink in the morning?""","""I drink milk/juice/coffee in the morning."""
VISUAL 1 - UNIT 1,"""What do you eat in the morning?""","""I eat cereal/toast/fruit in the morning."""
VISUAL 1 - UNIT 1,"""Do you like to get up in the morning?""","""Yes, I like to get up in the morning."" / ""No, I don’t like to get up in the morning."""
VISUAL 1 - UNIT 1,"""Do you run in the morning?""","""Yes, I run in the morning."" / ""No, I don’t run in the morning."""
VISUAL 1 - UNIT 1,"""What do you say in the afternoon?""","""I say 'Good Afternoon' in the afternoon."""
VISUAL 1 - UNIT 1,"""What time do you go home?""","""I go home in the afternoon."""
VISUAL 1 - UNIT 1,"""What time do you eat lunch?""","""I eat lunch in the afternoon."""
VISUAL 1 - UNIT 1,"""Do you have lunch in the afternoon at school?""","""Yes, I have lunch in the afternoon at school."" / ""No, I don’t have lunch in the afternoon at school."""
VISUAL 1 - UNIT 1,"""What do you eat in the afternoon?""","""I eat sandwiches/snacks/fruit in the afternoon."""
VISUAL 1 - UNIT 1,"""Do you do homework in the afternoon?""","""Yes, I do homework in the afternoon."" / ""No, I don’t do homework in the afternoon."""
VISUAL 1 - UNIT 1,"""Do you play with friends in the afternoon?""","""Yes, I play with friends in the afternoon."" / ""No, I don’t play with friends in the afternoon."""
VISUAL 1 - UNIT 1,"""Do you go home by bus in the afternoon?""","""Yes, I go home by bus in the afternoon."" / ""No, I don’t go home by bus in the afternoon."""
VISUAL 1 - UNIT 1,"""What do you say in the evening?""","""I say 'Good Evening' in the evening."""
VISUAL 1 - UNIT 1,"""What time do you eat dinner?""","""I eat dinner in the evening."""
VISUAL 1 - UNIT 1,"""What time is it in the picture?""","""It is in the evening."""
VISUAL 1 - UNIT 1,"""What do you have for dinner in the evening?""","""I have pasta/rice/meat for dinner in the evening."""
VISUAL 1 - UNIT 1,"""Do you do homework in the evening?""","""Yes, I do homework in the evening."" / ""No, I don’t do homework in the evening."""
VISUAL 1 - UNIT 1,"""Do you watch TV in the evening?""","""Yes, I watch TV in the evening."" / ""No, I don’t watch TV in the evening."""
VISUAL 1 - UNIT 1,"""Do you take a bath in the evening?""","""Yes, I take a bath in the evening."" / ""No, I don’t take a bath in the evening."""
